tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
0,20,1,0,0,0,0,0
1,20,2,0,0,0,0,0
2,20,3,0,0,0,0,0
3,20,4,0,0,0,0,0
4,18,5,2,2,0,0,0
5,18,6,0,0,0,0,0
6,18,7,0,0,0,0,0
7,18,8,0,0,0,0,0
8,18,9,0,0,0,0,0
9,18,10,0,0,0,0,0
10,18,11,0,0,0,0,0
11,18,12,0,0,0,0,0
12,18,13,0,0,0,0,0
13,18,14,0,0,0,0,0
14,18,15,0,0,0,0,0
15,18,16,0,0,0,0,0
16,18,17,0,0,0,0,0
17,18,18,0,0,0,0,0
18,18,19,0,0,0,0,0
19,18,20,0,0,0,0,0
20,18,21,0,0,0,0,0
21,18,22,0,0,0,0,0
22,18,23,1,0,0,0,0
23,18,24,1,0,0,0,0
24,17,25,1,1,0,0,0
25,17,26,0,0,0,0,0
26,18,25.5,1,0,0,1,0
27,18,26.5,1,0,0,0,0
28,17,29,1,1,0,0,0
29,17,30,0,0,0,0,0
30,17,31,1,0,0,0,0
31,17,32,1,0,0,0,0
32,17,33,1,0,0,0,0
33,17,34,2,0,0,0,0
34,17,35,2,0,0,0,0
35,17,36,2,0,0,0,0
36,17,37,2,0,0,0,0
37,17,38,2,0,0,0,0
38,16,39,2,1,0,0,0
39,16,40,1,0,0,0,0
40,15,41,2,1,0,0,0
41,15,42,0,0,0,0,0
42,15,43,0,0,0,0,0
43,15,44,0,0,0,0,0
44,15,45,0,0,0,0,0
45,15,46,0,0,0,0,0
46,15,47,0,0,0,0,0
47,15,48,0,0,0,0,0
48,15,49,0,0,0,0,0
49,15,50,0,0,0,0,0
50,16,47.8125,0,0,0,1,0
51,16,48.8125,1,0,0,0,0
52,15,49.6,1,1,0,0,0
53,15,50.6,0,0,0,0,0
54,15,51.6,0,0,0,0,0
55,15,52.6,0,0,0,0,0
56,15,53.6,0,0,0,0,0
57,15,54.6,0,0,0,0,0
58,16,52.125,0,0,0,1,0
59,16,53.125,1,0,0,0,0
60,15,57.6,1,1,0,0,0
61,15,58.6,1,0,0,0,0
62,15,59.6,1,0,0,0,0
63,14,60.3571,1,1,0,0,0
64,14,61.3571,0,0,0,0,0
65,14,62.3571,1,0,0,0,0
66,14,63.3571,0,0,0,0,0
67,15,60.0667,0,0,0,1,0
68,14,60.5,1,1,0,0,0
69,14,61.5,0,0,0,0,0
70,14,62.5,0,0,0,0,0
71,14,63.5,0,0,0,0,0
72,13,63.8462,1,1,0,0,0
73,14,60.2143,0,0,0,1,0
74,15,57.1333,1,0,0,1,0
75,14,62.1429,2,1,0,0,0
76,13,67.8462,1,1,0,0,0
77,11,67.1818,1,2,0,0,0
78,11,68.1818,0,0,0,0,0
79,11,69.1818,0,0,0,0,0
80,11,70.1818,0,0,0,0,0
81,11,71.1818,0,0,0,0,0
82,11,72.1818,0,0,0,0,0
83,11,73.1818,0,0,0,0,0
84,11,74.1818,0,0,0,0,0
85,11,75.1818,0,0,0,0,0
86,11,76.1818,0,0,0,0,0
87,11,77.1818,0,0,0,0,0
88,11,78.1818,0,0,0,0,0
89,11,79.1818,0,0,0,0,0
90,11,80.1818,0,0,0,0,0
91,11,81.1818,0,0,0,0,0
92,11,82.1818,0,0,0,0,0
93,11,83.1818,0,0,0,0,0
94,11,84.1818,0,0,0,0,0
95,11,85.1818,0,0,0,0,0
96,11,86.1818,0,0,0,0,0
97,11,87.1818,0,0,0,0,0
98,11,88.1818,0,0,0,0,0
99,11,89.1818,0,0,0,0,0
100,11,90.1818,0,0,0,0,0
101,11,91.1818,0,0,0,0,0
102,11,92.1818,0,0,0,0,0
103,11,93.1818,0,0,0,0,0
104,11,94.1818,0,0,0,0,0
105,11,95.1818,0,0,0,0,0
106,11,96.1818,0,0,0,0,0
107,11,97.1818,0,0,0,0,0
108,11,98.1818,0,0,0,0,0
109,11,99.1818,0,0,0,0,0
110,11,100.182,0,0,0,0,0
111,11,101.182,0,0,0,0,0
112,11,102.182,0,0,0,0,0
113,11,103.182,0,0,0,0,0
114,11,104.182,0,0,0,0,0
115,11,105.182,0,0,0,0,0
116,11,106.182,0,0,0,0,0
117,11,107.182,0,0,0,0,0
118,11,108.182,0,0,0,0,0
119,11,109.182,0,0,0,0,0
120,11,110.182,0,0,0,0,0
121,11,111.182,0,0,0,0,0
122,13,94.9231,0,0,0,2,0
123,10,112.1,2,3,0,0,0
124,10,113.1,0,0,0,0,0
125,10,114.1,0,0,0,0,0
126,10,115.1,0,0,0,0,0
127,10,116.1,0,0,0,0,0
128,10,117.1,0,0,0,0,0
129,10,118.1,0,0,0,0,0
130,10,119.1,0,0,0,0,0
131,8,117.125,2,2,0,0,0
132,8,118.125,0,0,0,0,0
133,8,119.125,0,0,0,0,0
134,8,120.125,0,0,0,0,0
135,8,121.125,0,0,0,0,0
136,8,122.125,0,0,0,0,0
137,8,123.125,0,0,0,0,0
138,8,124.125,0,0,0,0,0
139,8,125.125,0,0,0,0,0
140,8,126.125,0,0,0,0,0
141,8,127.125,0,0,0,0,0
142,8,128.125,0,0,0,0,0
143,8,129.125,0,0,0,0,0
144,8,130.125,0,0,0,0,0
145,8,131.125,0,0,0,0,0
146,8,132.125,0,0,0,0,0
147,8,133.125,0,0,0,0,0
148,8,134.125,0,0,0,0,0
149,9,120.111,0,0,0,1,0
150,9,121.111,1,0,0,0,0
151,9,122.111,1,0,0,0,0
152,7,136,1,2,0,0,0
153,7,137,0,0,0,0,0
154,7,138,0,0,0,0,0
155,7,139,0,0,0,0,0
156,7,140,0,0,0,0,0
157,7,141,0,0,0,0,0
158,7,142,0,0,0,0,0
159,7,143,0,0,0,0,0
160,7,144,0,0,0,0,0
161,7,145,0,0,0,0,0
162,7,146,0,0,0,0,0
163,7,147,0,0,0,0,0
164,7,148,0,0,0,0,0
165,7,149,0,0,0,0,0
166,7,150,0,0,0,0,0
167,7,151,0,0,0,0,0
168,7,152,0,0,0,0,0
169,7,153,0,0,0,0,0
170,7,154,0,0,0,0,0
171,7,155,0,0,0,0,0
172,7,156,0,0,0,0,0
173,7,157,0,0,0,0,0
174,7,158,0,0,0,0,0
175,8,139.125,0,0,0,0,1
176,8,140.125,0,0,0,0,0
177,8,141.125,0,0,0,0,0
178,8,142.125,0,0,0,0,0
179,8,143.125,0,0,0,0,0
180,8,144.125,0,0,0,0,0
181,8,145.125,0,0,0,0,0
182,9,129.889,0,0,0,1,0
183,8,132.75,1,1,0,0,0
184,8,133.75,0,0,0,0,0
185,8,134.75,0,0,0,0,0
186,8,135.75,0,0,0,0,0
187,8,136.75,0,0,0,0,0
